PlayerName,lengthEs,lengthEN,AreaM,AreaF,LEye,REye,Mouth,MandE,EtoM,LEp,LEMp,Classfication
JR Smith,164,711,15138,154449,3.091,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3.161,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,2.994,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,2.999,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,2.918,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3.07,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3.002,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,2.997,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,2.898,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,2.916,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3.079,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,2.948,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3.016,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,2.953,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3.089,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,2.987,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3.153,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,2.906,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,2.883,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3.102,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3.069,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,2.785,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3.101,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3.022,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3.061,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3.019,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3.014,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3.089,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,2.971,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,2.973,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3.037,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,2.901,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,2.937,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,2.943,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3.095,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,2.834,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3.026,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3.04,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,2.981,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3.019,4,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,3.976,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,4.2,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,4.003,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,3.925,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,4.039,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,3.927,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,3.996,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,4.005,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,3.708,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,4.093,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,4.056,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,3.81,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,3.933,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,3.916,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,4.081,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,4.178,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,3.992,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,4.084,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,3.984,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,3.996,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,3.788,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,4.054,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,3.751,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,4.015,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,4.07,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,3.889,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,3.974,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,3.916,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,4.173,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,3.925,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,3.892,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,4.055,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,4.004,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,4.04,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,3.953,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,3.9,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,3.889,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,4.016,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,3.929,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,4.035,9,16,85,41,180,0
JR Smith,164,711,15138,154449,3,4,9.116,16,85,41,180,0
JR Smith,164,711,15138,154449,3,4,9.29,16,85,41,180,0
JR Smith,164,711,15138,154449,3,4,9.335,16,85,41,180,0
JR Smith,164,711,15138,154449,3,4,9.133,16,85,41,180,0
JR Smith,164,711,15138,154449,3,4,8.716,16,85,41,180,0
JR Smith,164,711,15138,154449,3,4,9.18,16,85,41,180,0
